number,state,value,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,avg_spearman_ic,std_spearman_ic,spearman_icir,negative_spearman_folds,robust_score
17,TrialState.COMPLETE,0.09151114022329188,459,4,0.010476266119400097,0.8352474415920574,0.804647846131487,14,3.641081743059298,0.17770719881648053,20.60733680053506,0.13961632209972263,0.152420727505723,0.9159930173832848,3.0,0.09151114022329188
18,TrialState.COMPLETE,0.0680022987054188,541,3,0.00738653942943185,0.8923558734562332,0.6283120259886943,13,0.20387570777381958,1.0181664269571005,24.351670084272914,0.12336511202576178,0.18145125328137188,0.6798801870740602,3.0,0.0680022987054188
19,TrialState.COMPLETE,0.059954668649463944,189,3,0.010107576234005582,0.8258104766433074,0.5697465716019966,27,1.933676731502687,15.238853924664191,3.3215959190218762,0.12025455548894023,0.18786621402457182,0.6401074089522645,4.0,0.059954668649463944
20,TrialState.COMPLETE,0.0839934788684071,486,3,0.03468411386584689,0.805038402977923,0.584923301196519,12,0.6698340545356295,15.743750563752581,24.915781910678234,0.13748796752108605,0.1606446212773824,0.855851670773887,4.0,0.0839934788684071
21,TrialState.COMPLETE,0.09382962759005575,472,4,0.010369191804424886,0.6513187629527324,0.5628202997863734,11,2.2805213368686283,0.19075570400047853,28.94505746733672,0.1419084360801342,0.15231523396031382,0.9316759222988087,3.0,0.09382962759005575
22,TrialState.COMPLETE,0.089138134368654,341,3,0.0219491491865831,0.8332102887454108,0.8540537826917639,12,0.11320718187478473,0.2433074694043431,3.677643076245974,0.1441428244944369,0.16668542716979828,0.8647596070147285,4.0,0.089138134368654
23,TrialState.COMPLETE,0.09385232394817233,610,4,0.006645550441632413,0.6858920642077085,0.5040448076311501,21,1.8818558862406645,0.04092868232119059,77.41524829597056,0.14661380210187988,0.15771257928149687,0.9296265571828162,4.0,0.09385232394817233
24,TrialState.PRUNED,-0.11829965383889934,334,3,0.016699097323626694,0.8953871734590851,0.8049982602988085,25,2.105732361901362,0.07147137752837596,7.206778762877145,,,,,
25,TrialState.COMPLETE,0.08726282085961512,242,4,0.01090880905964576,0.8922777923607216,0.8669360132351537,19,0.14441958793735932,0.041845280461126795,22.08502972647924,0.1395211281989013,0.16903322935714477,0.8254065116635244,3.0,0.08726282085961512
26,TrialState.COMPLETE,0.09314717662492167,255,4,0.02404576708188996,0.7868480027913887,0.6425625521440291,10,0.040948694476287545,6.417103732966832,7.886845389046908,0.14360078868317994,0.16181444823303304,0.8874410798989769,3.0,0.09314717662492167
27,TrialState.COMPLETE,0.09864256211437077,361,4,0.026840682294701754,0.9455858573107293,0.5269828591060948,11,0.6525439852934493,23.647240452460156,27.63349042805585,0.14219123738477094,0.14752803441493398,0.9638252007401327,2.0,0.09864256211437077
28,TrialState.COMPLETE,0.10067935654252685,303,4,0.006336137446438515,0.7178321728749933,0.5141390811674893,17,0.9317120168292456,0.3324466035278142,63.860510562678726,0.15437967500985758,0.1614679405359896,0.9561010965854729,4.0,0.10067935654252685
29,TrialState.COMPLETE,0.10682259135994454,351,4,0.0063672177112483,0.8054911327163755,0.5495022367441813,11,0.7401831863456942,0.693420184877326,53.420053243437216,0.1557663144430143,0.155774892332279,0.9999449340703352,3.0,0.10682259135994454
30,TrialState.COMPLETE,0.11074114822931938,210,4,0.008578506515287385,0.7902589328273858,0.5133515137067379,15,0.6744543224883943,0.23418320878982196,23.595053997277414,0.15920161876916933,0.15384188215939973,1.0348392553090078,3.0,0.11074114822931938
31,TrialState.COMPLETE,0.11215537226899902,209,4,0.0075797135679155775,0.6856281452423717,0.5388833284600176,21,1.143383084176717,2.535078595219609,50.824668943829295,0.16054056455808216,0.15354076915633258,1.0455891646252111,3.0,0.11215537226899902
32,TrialState.COMPLETE,0.1073081912472717,212,4,0.007847502810271455,0.8744519946753371,0.5239392120292499,22,1.3539555839761104,0.4195171371962074,11.860988833650058,0.15581137702516076,0.15401274311155627,1.0116784746331131,3.0,0.1073081912472717
33,TrialState.COMPLETE,0.11566190247479285,254,4,0.008568493037317973,0.9281970300823519,0.5515394512669756,24,1.4600943364717356,0.14347810655306578,5.848631133759961,0.16436170770544326,0.15479922092260162,1.0617734813253537,3.0,0.11566190247479285
34,TrialState.COMPLETE,0.10916263657120173,203,4,0.011155875411256884,0.9138397652266822,0.5490278626797755,27,1.7923174784984823,0.14322257454323473,6.490652820716416,0.15787990686103598,0.15486908115933692,1.0194411026343042,3.0,0.10916263657120173
35,TrialState.PRUNED,-0.15336510419447444,227,3,0.007221955397079698,0.6315682711520455,0.5212908459372002,26,1.1547733162548246,20.147787196272095,47.73623714054517,,,,,
36,TrialState.PRUNED,-0.08933377981626159,231,3,0.029679034835766425,0.911207396351842,0.5259674823747803,24,1.666517768505595,0.11113889226743778,5.808348903795133,,,,,
