number,state,value,stability_threshold,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,early_stopping_rounds,avg_date_spearman_ic,std_date_spearman_ic,date_spearman_icir,negative_date_spearman_folds,robust_score
88,TrialState.COMPLETE,-0.0435797301325696,0.55,1017,2,0.007527417948703913,0.7893076862382313,0.8214201272917895,33,4.283751913469139,0.0045384896086626,16.078823560753698,20,0.02072194122701759,0.21484169013126925,0.09645214210685267,8.0,-0.0435797301325696
89,TrialState.COMPLETE,0.027933566133324306,0.5,809,3,0.006176813198722804,0.894047313339157,0.8506621218992949,35,2.7933515007469167,0.015051922467608263,50.36475077742155,30,0.06968113618115793,0.14207118357250145,0.4904663593908782,5.0,0.027933566133324306
90,TrialState.COMPLETE,0.01714512785877642,0.7,908,3,0.00849225592117445,0.7092031069849787,0.8346045627842786,26,0.08121363953349281,0.028613362017315038,25.176478142437492,50,0.05801940414530628,0.13770471476598262,0.42133200917561386,5.0,0.01714512785877642
91,TrialState.COMPLETE,0.0261432125292861,0.5,644,2,0.011850079669080218,0.8974401023640808,0.6785380550632543,35,2.8177220003241166,0.017154609872635635,19.443409118187525,50,0.07543106428791302,0.1664392587931346,0.4532047597115618,6.0,0.0261432125292861
92,TrialState.COMPLETE,0.04831298777075365,0.5,692,2,0.004324629305002968,0.8918114614999451,0.8246868940522418,40,3.116260967889647,0.048310722514660336,6.8979295499043936,50,0.08823920979961933,0.14629777681099507,0.6031479884593002,4.0,0.04831298777075365
93,TrialState.COMPLETE,0.06925648509319911,0.5,629,2,0.009401946338839501,0.7761642260400708,0.9262016932617863,31,3.8360442608475416,0.0056644575263127385,6.65488195512869,20,0.11491529929552395,0.1749607376782909,0.6568062116131705,4.0,0.06925648509319911
94,TrialState.COMPLETE,-0.008059946291698258,0.7,868,2,0.004507471752545958,0.8941377197479538,0.8497989623054841,39,2.5755013110843006,0.5944997560517962,56.58032456949197,30,0.04811377308703858,0.18753526356035086,0.25655853823755687,7.0,-0.008059946291698258
95,TrialState.COMPLETE,0.07752583709685952,0.5,600,2,0.012037233105283924,0.7161584677485553,0.9245489293278961,37,4.051688107737438,0.003474880196210037,12.772441024564618,20,0.12169287389551624,0.16750185065995019,0.7265165931961437,4.0,0.07752583709685952
96,TrialState.COMPLETE,0.05892683160512185,0.5,725,2,0.006134248148431759,0.8444609705914905,0.8288753664773922,22,0.22173193561781845,0.11659387221040136,77.08948749600505,80,0.10220558626562713,0.16306043996919314,0.6267957224016858,4.0,0.05892683160512185
97,TrialState.COMPLETE,0.03234778022484107,0.5,828,2,0.014414354253077596,0.6590347977579126,0.9317971599697209,35,4.8726674140915565,0.013970308269448428,19.101253183569103,30,0.08399272525675547,0.19155805849290533,0.43847137477573817,5.0,0.03234778022484107
98,TrialState.COMPLETE,-0.04797949773804281,0.65,752,2,0.007221176366690742,0.781705617153066,0.7699428027269858,34,0.24446828532347922,0.36837329090041193,19.81483531086093,20,0.015635620809120395,0.21140892606914935,0.07395913266219502,8.0,-0.04797949773804281
99,TrialState.COMPLETE,0.09125276964263809,0.5,855,2,0.006829896117407288,0.6116035733126465,0.9128677797080215,37,4.285143264910846,0.0016119367273648671,6.808201906494792,20,0.13461719269211153,0.16348878191403382,0.8234032397580426,4.0,0.09125276964263809
100,TrialState.PRUNED,-0.1499189434278826,0.7,717,2,0.014528724589521133,0.7703534301351348,0.9050572774784076,25,5.072888143622931,0.008912225680149443,1.8534359747958185,20,,,,,
101,TrialState.COMPLETE,0.05983383755536647,0.5,1048,2,0.007139263377648918,0.5887863584562067,0.8977053364938566,32,4.95078362621071,0.05420423723929449,3.171467195838087,20,0.10216989796516787,0.1583469687156737,0.6452280002190832,4.0,0.05983383755536647
102,TrialState.COMPLETE,0.07156867216545064,0.5,1121,2,0.00525656987377174,0.6491645588156643,0.917233450186896,18,0.893919261057913,0.011377334025342519,13.191329403738761,20,0.11503022021731205,0.1639744069259737,0.7015132566952504,4.0,0.07156867216545064
103,TrialState.COMPLETE,0.0397114845046192,0.5,1296,3,0.0060219536935841094,0.6641896271996865,0.9247805792675833,17,0.23112125745610712,0.0031019104812844553,36.3559138091821,30,0.0782516121667372,0.12603397164392338,0.6208771424566151,5.0,0.0397114845046192
104,TrialState.COMPLETE,0.07260899364249315,0.5,1273,2,0.00783799187207532,0.580253189841037,0.9283412225754891,15,1.0054846548817356,0.002580457278036826,6.0228310032113574,20,0.11745343178642557,0.17088885738632875,0.687308895283315,4.0,0.07260899364249315
105,TrialState.COMPLETE,0.0831592356510908,0.5,1477,2,0.009828214938325896,0.6252741616721238,0.9016600633080449,11,1.2863020044832791,0.006232053348065613,8.040104854132517,20,0.12828885552282338,0.1723147660253295,0.7445029725657144,4.0,0.0831592356510908
